2015-04-15 11:14:00		/?debug=1	 Message: syntax error, unexpected '$this' (T_VARIABLE)	 File: E:\wechat2.0\weixin\app\controllers\HomeController.php	 Line: 9
2015-04-15 11:14:00		/?debug=1	 Message: syntax error, unexpected '$this' (T_VARIABLE)	 File: E:\wechat2.0\weixin\app\controllers\HomeController.php	 Line: 9
2015-04-15 11:14:14		/?debug=1&DEBUG=1	 Message: syntax error, unexpected '$this' (T_VARIABLE)	 File: E:\wechat2.0\weixin\app\controllers\HomeController.php	 Line: 9
2015-04-15 11:14:17		/?debug=1&DEBUG=1	 Message: syntax error, unexpected '$this' (T_VARIABLE)	 File: E:\wechat2.0\weixin\app\controllers\HomeController.php	 Line: 9
2015-04-15 11:14:27		/?debug=1&DEBUG=1	 Message: syntax error, unexpected '$this' (T_VARIABLE)	 File: E:\wechat2.0\weixin\app\controllers\HomeController.php	 Line: 9
2015-04-15 11:14:28		/?debug=1&DEBUG=1	 Message: syntax error, unexpected '$this' (T_VARIABLE)	 File: E:\wechat2.0\weixin\app\controllers\HomeController.php	 Line: 9
2015-04-15 11:14:28		/?debug=1&DEBUG=1	 Message: syntax error, unexpected '$this' (T_VARIABLE)	 File: E:\wechat2.0\weixin\app\controllers\HomeController.php	 Line: 9
2015-04-15 11:14:33		/?debug=1&DEBUG=1	 Message: syntax error, unexpected '$this' (T_VARIABLE)	 File: E:\wechat2.0\weixin\app\controllers\HomeController.php	 Line: 9
2015-04-15 11:14:34		/?debug=1&DEBUG=1	 Message: syntax error, unexpected '$this' (T_VARIABLE)	 File: E:\wechat2.0\weixin\app\controllers\HomeController.php	 Line: 9
2015-04-15 11:14:34		/?debug=1&DEBUG=1	 Message: syntax error, unexpected '$this' (T_VARIABLE)	 File: E:\wechat2.0\weixin\app\controllers\HomeController.php	 Line: 9
2015-04-15 11:15:38		/?debug=1&DEBUG=1	 Message: syntax error, unexpected '$this' (T_VARIABLE)	 File: E:\wechat2.0\weixin\app\controllers\HomeController.php	 Line: 9
